region,temperature,latitude,longitude
Cherskii-Kolyma mountain tundra,-46.2,65.83012913270245,144.37527559602933
Novosibirsk Islands Arctic desert,-43.6,75.07541338303871,142.05992090585198
East Siberian taiga,-41.8,61.56053149206861,112.88046922666923
Russian Bering tundra,-41.4,63.50402201029859,169.81053406842292
Kalaallit Nunaat Arctic steppe,-40.4,69.62876285697395,-38.91020076734502
Arctic foothills tundra,-36.3,69.16798869970731,-155.4981496251492
Northern Canadian Shield taiga,-36.0,61.486657391379055,-105.06769288057133
Beringia upland tundra,-36.0,65.36279932052335,-164.14752121591755
Brooks-British Range tundra,-35.4,68.37932774480802,-149.12724118807844
Chukchi Peninsula tundra,-35.1,67.624046458596,177.25286410208395
Wrangel Island Arctic desert,-33.9,71.21518754330363,-179.48195523955968
Canadian Low Arctic tundra,-33.6,65.75614598895739,-99.13115906940823
Interior Alaska-Yukon lowland taiga,-33.0,64.72797109655282,-153.37465003610413
Southern Hudson Bay taiga,-33.0,53.814140386689004,-85.49135221559648
Northwest Territories taiga,-32.9,65.39774443296804,-123.9015489582962
Northeast Siberian taiga,-32.0,65.49904186465082,147.29426493307486
Beringia lowland tundra,-30.9,60.9053488851592,-160.89307740337003
Ahklun and Kilbuck Upland Tundra,-30.5,60.072339379409335,-159.95396820981927
Great Lakes Basin desert steppe,-30.5,48.74113799466631,93.68490097157742
Canadian Middle Arctic Tundra,-30.0,69.06278125695016,-91.08110141448437
Arctic coastal tundra,-29.8,70.37256765158578,-155.11877112003475
Trans-Baikal conifer forests,-29.0,50.902125679522825,109.88093866322211
Daurian forest steppe,-28.6,49.969965151088395,112.47232038621209
Eastern Canadian Shield taiga,-28.3,55.102335433140695,-68.63724882365852
Sayan Intermontane steppe,-27.9,51.343495144125384,94.41268975332633
Taimyr-Central Siberian tundra,-27.8,72.3164681133716,100.98398844784465
Central Canadian Shield forests,-27.7,49.85543046782225,-78.85631103552913
Northeast Siberian coastal tundra,-27.6,70.87548539505822,147.11904429188417
Yamal-Gydan tundra,-26.5,69.06936464947026,76.2553864620324
Mongolian-Manchurian grassland,-26.4,45.84380344100127,115.84182692055019
Midwest Canadian Shield forests,-26.4,54.26123326631851,-96.04530775585702
Northeast China Plain deciduous forests,-26.1,43.75701365238873,124.0148357841446
Dronning Maud Land tundra,-25.9,-72.36993397782612,14.099358594461254
Da Hinggan-Dzhagdy Mountains conifer forests,-25.9,51.90267857565003,123.89502016424365
Qilian Mountains subalpine meadows,-25.8,38.65994839762418,97.9856944881943
Eastern Canadian forests,-25.8,50.60559813879596,-63.638381712699505
Trans-Baikal Bald Mountain tundra,-25.5,56.185074704377854,122.27436705214163
Interior Yukon-Alaska alpine tundra,-25.5,64.86407186875563,-144.97752132165772
West Siberian taiga,-25.0,61.38200400216197,75.14044685440739
Transantarctic Mountains tundra,-24.9,-85.82815961454199,-177.3805713380788
Changbai Mountains mixed forests,-24.9,41.789834741956554,127.56669208708634
Torngat Mountain tundra,-24.9,58.687010455720035,-64.05101068216037
South Siberian forest steppe,-24.2,55.026744526548995,92.72295679739631
Tibetan Plateau alpine shrublands and meadows,-24.1,33.31119274088961,94.6490814505087
Junggar Basin semi-desert,-23.6,45.66598582938039,88.87268742064339
Khangai Mountains alpine meadow,-22.9,47.495290380713186,99.30474380594563
Altai steppe and semi-desert,-22.9,48.460159551190145,82.57869986344535
Western Siberian hemiboreal forests,-22.8,56.340969387334,77.11605068649312
Alaska Peninsula montane taiga,-22.7,57.119339949408264,-157.02469297374523
Canadian High Arctic tundra,-22.4,75.73023222126506,-84.45300137076175
Alaska-St. Elias Range tundra,-22.1,62.13277547547787,-147.09922130540738
North Victoria Land tundra,-21.9,-72.72162304319944,164.88114495751464
