region,temperature,max_rainfall,latitude,longitude
Carnarvon xeric shrublands,50.3,0.0,-24.312841515918684,114.56948736404121
Gibson desert,45.7,0.0,-24.346783457900017,125.9615630433902
Great Sandy-Tanami desert,45.3,0.0,-21.445277382079958,128.10212220349948
Western Australian Mulga shrublands,44.8,0.0,-26.602173315109763,119.20522480258802
Great Victoria desert,44.6,0.0,-28.471209211599504,128.56236878166
Pilbara shrublands,44.0,0.0,-21.91496622586279,118.54794989286708
Nullarbor Plains xeric shrublands,43.4,0.0,-30.724617662604217,127.76321092751057
Tirari-Sturt stony desert,42.7,0.2,-30.084685424532964,136.99678420245053
Central Ranges xeric scrub,42.4,0.0,-24.552719781451856,131.97898513917
Southwest Australia savanna,41.7,0.0,-29.944534401496416,116.6093102509253
Simpson desert,41.5,0.0,-26.274999496625536,139.3852693573042
Eyre and York mallee,41.4,0.0,-33.48832321618116,135.97423274659366
Murray-Darling woodlands and mallee,40.9,0.2,-34.35000165721359,141.9284157222665
Flinders-Lofty montane woodlands,40.9,0.5,-32.15823631798384,138.90953829118087
Naracoorte woodlands,40.8,0.0,-36.90356367309836,140.39423509717057
Southeast Australia temperate forests,38.1,0.0,-36.00551723055449,146.4542584799812
Eastern Australia mulga shrublands,37.7,0.0,-27.88456409916662,145.19069257636534
South Western Ghats montane rain forests,37.7,0.0,10.909226630621909,76.465096221671
Namibian savanna woodlands,37.3,0.0,-19.186103198556413,14.18097337484862
Coolgardie woodlands,37.1,0.0,-31.38456136668727,121.41923954046672
Southeast Australia temperate savanna,37.1,0.0,-32.40593966457316,146.16183440711174
Maputaland coastal forests and woodlands,37.0,0.0,-26.35170821602883,32.53878387548909
Etosha Pan halophytics,36.8,0.1,-18.831604754249557,16.15763910081212
Central American dry forests,36.5,0.0,13.272966590474525,-87.47242414583292
Southern Africa mangroves,36.5,0.0,-28.837217509950623,31.69035634633759
Sudd flooded grasslands,36.2,0.0,7.826085996594244,31.593103942113718
Espinal,36.2,0.0,-34.16531941007006,-62.87872876878476
Kalahari xeric savanna,36.2,0.5,-24.007107266769154,21.79560803186934
Southern Cone Mesopotamian savanna,36.0,0.0,-28.624394255094245,-56.628201240529314
Western Guinean lowland forests,36.0,0.0,6.990769861575759,-9.492079114641205
Humid Pampas,35.9,0.0,-35.46401799552825,-60.80743688799227
Eastern Congolian swamp forests,35.9,0.0,-0.3117772963967002,20.479657418552677
