region,max_temperature,min_temperature,max_rainfall
Great Lakes Basin desert steppe,-20.1,-34.4,0.0
Northern Shortgrass prairie,-17.7,-30.6,0.0
Canadian Aspen forests and parklands,-23.3,-30.0,0.0
Montana Valley and Foothill grasslands,-12.0,-28.4,0.0
Northern Tallgrass prairie,-18.7,-28.3,0.0
North Tibetan Plateau-Kunlun Mountains alpine desert,-15.3,-28.2,0.7
Qilian Mountains subalpine meadows,-11.1,-26.8,0.0
South Central Rockies forests,-18.4,-26.0,0.0
Alberta-British Columbia foothills forests,-8.2,-25.6,0.4
Da Hinggan-Dzhagdy Mountains conifer forests,-14.5,-25.2,0.0
Sayan Intermontane steppe,-10.0,-25.1,0.0
Altai steppe and semi-desert,-13.3,-25.0,0.0
Khangai Mountains alpine meadow,-11.0,-24.6,0.0
Central Tibetan Plateau alpine steppe,-14.0,-24.4,0.4
Junggar Basin semi-desert,-12.0,-24.3,0.0
Hindu Kush alpine meadow,-22.1,-24.1,0.5
Northern Rockies conifer forests,-12.6,-23.9,0.0
Snake-Columbia shrub steppe,-13.5,-23.2,0.0
Eastern Canadian Forest-Boreal transition,-10.6,-23.1,0.0
Changbai Mountains mixed forests,-6.5,-22.9,3.7
Wyoming Basin shrub steppe,-13.3,-22.7,0.0
Altai montane forest and forest steppe,-5.2,-22.1,0.0
Karakoram-West Tibetan Plateau alpine steppe,-17.5,-22.0,0.1
Blue Mountains forests,-5.8,-22.0,0.0
Amur meadow steppe,-14.1,-21.9,0.0
Colorado Rockies forests,-9.7,-21.9,0.0
Pamir alpine desert and tundra,-12.8,-21.8,0.0
Altai alpine meadow and tundra,-15.1,-21.2,0.0
Daurian forest steppe,-11.2,-20.8,0.0
Eastern Cascades forests,-7.7,-20.8,0.0
Manchurian mixed forests,-12.1,-20.2,0.0
Gobi Lakes Valley desert steppe,-4.2,-19.0,0.0
Nenjiang River grassland,-8.1,-18.9,0.0
Qaidam Basin semi-desert,-3.5,-18.7,0.0
New England-Acadian forests,-7.5,-18.5,0.0
