region,max_temperature,min_temperature,max_rainfall
Simpson desert,45.6,35.7,0.0
Eyre and York mallee,44.8,19.0,1.0
Tirari-Sturt stony desert,43.7,22.9,0.1
Eastern Australia mulga shrublands,43.0,28.0,0.0
Naracoorte woodlands,41.3,21.4,0.0
Central Ranges xeric scrub,40.9,27.4,0.7
Flinders-Lofty montane woodlands,40.7,24.1,0.0
Albany thickets,39.8,13.4,3.0
Murray-Darling woodlands and mallee,39.6,28.0,0.0
Fynbos shrubland,38.9,15.3,0.0
Great Sandy-Tanami desert,38.7,25.9,6.4
Knysna-Amatole montane forests,38.6,13.8,0.0
Gibson desert,38.3,28.2,0.5
Southern Cone Mesopotamian savanna,38.2,26.2,0.5
Inner Niger Delta flooded savanna,38.2,22.6,0.0
Gariep Karoo,37.2,25.0,0.2
Sudd flooded grasslands,36.8,25.2,0.0
Cross-Sanaga-Bioko coastal forests,36.5,23.3,0.3
Eastern Congolian swamp forests,36.3,23.8,5.2
Niger Delta swamp forests,36.2,26.8,0.0
Cross-Niger transition forests,36.0,26.2,0.0
Guinean montane forests,35.9,21.5,0.0
Carnarvon xeric shrublands,35.6,21.9,0.0
Motagua Valley thornscrub,35.6,21.8,0.0
Renosterveld shrubland,35.5,15.2,0.0
Southern New Guinea freshwater swamp forests,35.4,24.3,6.0
Nigerian lowland forests,35.2,25.5,0.0
Tamaulipan matorral,35.2,18.7,0.0
Deccan thorn scrub forests,35.2,21.9,0.0
Southeast Indochina dry evergreen forests,35.1,23.7,0.0
Eastern Guinean forests,35.0,26.0,3.7
Central American dry forests,34.8,22.8,0.0
Djibouti xeric shrublands,34.7,21.8,0.0
Sinú Valley dry forests,34.6,22.8,0.0
Godavari-Krishna mangroves,34.6,19.4,0.0
Central Congolian lowland forests,34.6,24.4,3.0
Tonle Sap freshwater swamp forests,34.5,25.0,0.0
Chao Phraya freshwater swamp forests,34.5,18.8,0.0
Southern New Guinea lowland rain forests,34.4,23.9,22.6
North Deccan dry deciduous forests,34.2,18.4,0.0
Southeast Australia temperate savanna,34.1,21.2,0.0
Chiapas Depression dry forests,34.0,22.5,0.0
Southeast Australia temperate forests,34.0,21.6,0.0
Central Indochina dry forests,34.0,17.7,0.0
Tumbes-Piura dry forests,33.9,24.3,1.1
Caatinga Enclaves moist forests,33.8,24.0,0.7
Balsas dry forests,33.8,19.5,0.0
Chao Phraya lowland moist deciduous forests,33.8,21.2,0.0
La Costa xeric shrublands,33.7,21.2,0.0
Northern Thailand-Laos moist deciduous forests,33.6,15.8,0.0
Vogelkop-Aru lowland rain forests,33.6,24.2,13.0
Paraguaná xeric scrub,33.5,21.8,0.0
Greater Negros-Panay rain forests,33.5,24.9,0.0
Indochina mangroves,33.5,23.7,0.0
Peninsular Malaysian rain forests,33.4,22.4,0.0
Succulent Karoo xeric shrublands,33.3,16.2,0.0
Southern Swahili coastal forests and woodlands,33.3,24.2,2.8
Tonle Sap-Mekong peat swamp forests,33.3,24.2,0.0
Myanmar coastal rain forests,33.3,16.2,0.0
Caatinga,33.3,21.7,0.0
Yucatán dry forests,33.2,21.7,0.0
Central Deccan Plateau dry deciduous forests,33.2,21.3,0.0
Cuban cactus scrub,33.2,20.9,0.0
Nama Karoo shrublands,33.1,20.7,1.2
Veracruz dry forests,33.0,22.1,0.0
New Guinea mangroves,33.0,24.6,2.9
Brazilian Atlantic dry forests,32.9,21.7,0.0
South Deccan Plateau dry deciduous forests,32.9,17.8,0.0
Eastern Arc forests,32.7,21.7,0.0
South Arabian plains and plateau desert,32.7,18.1,0.0
Bahia interior forests,32.7,22.6,0.0
Northeast Congolian lowland forests,32.7,23.5,0.2
Atlantic Coast restingas,32.5,20.9,0.0
Kayah-Karen montane rain forests,32.5,13.5,0.0
Northern Khorat Plateau moist deciduous forests,32.5,17.4,0.0
Guinean mangroves,32.4,22.9,0.0
Northwest Congolian lowland forests,32.4,22.1,0.0
Guayaquil flooded grasslands,32.4,24.1,9.7
Madagascar dry deciduous forests,32.4,24.1,2.2
Eastern Java-Bali rain forests,32.3,24.0,0.0
Mentawai Islands rain forests,32.3,25.9,0.4
Cameroon Highlands forests,32.3,14.4,0.0
Apure-Villavicencio dry forests,32.2,22.8,0.0
Orinoco wetlands,32.1,22.3,0.1
Indus River Delta-Arabian Sea mangroves,32.1,18.0,0.0
Sumatran freshwater swamp forests,32.1,23.5,0.4
Zambezian coastal flooded savanna,32.0,25.4,2.9
Peninsular Malaysian peat swamp forests,32.0,23.1,0.8
Irrawaddy freshwater swamp forests,31.9,18.4,0.0
Western Australian Mulga shrublands,31.9,20.7,0.0
Arabian sand desert,31.9,17.2,0.0
Tamaulipan mezquital,31.9,16.1,0.0
Pernambuco coastal forests,31.9,22.5,0.1
Southern Atlantic Brazilian mangroves,31.8,20.2,0.2
Low Monte,31.8,17.2,0.0
"São Tomé, Príncipe, and Annobón forests",31.8,26.2,1.9
Panamanian dry forests,31.8,24.7,0.0
Cuban dry forests,31.8,21.1,0.0
Congolian coastal forests,31.7,24.7,0.1
Irrawaddy dry forests,31.7,17.8,0.0
