region,max_rainfall,latitude,longitude
Guayaquil flooded grasslands,101.3,-2.081052039356999,-79.65011052411519
South American Pacific mangroves,57.9,1.9967340596103078,-78.93348424314402
Humid Pampas,48.8,-35.46401799552825,-60.80743688799227
Cordillera Central páramo,34.7,-7.498335270402999,-77.92592568996928
Ecuadorian dry forests,29.1,-1.3600574600694266,-80.23315866756262
Madagascar dry deciduous forests,27.2,-16.904965699832555,46.378609274854256
Sulawesi montane rain forests,26.2,-2.0398075449502393,120.79490356717088
Santa Lucia Montane Chaparral & Woodlands,26.0,36.067521662337306,-121.35602909578034
St. Peter and St. Paul Rocks,23.3,0.912051325028964,-29.30960260963978
Banda Sea Islands moist deciduous forests,22.5,-7.34669310648634,130.92863667873334
Madagascar humid forests,21.8,-18.907581403625347,48.61125472320374
Palau tropical moist forests,21.3,7.4253860002609,134.51915544960022
Fernando de Noronha-Atol das Rocas moist forests,20.8,-3.8582743430639392,-32.43224764131676
Madagascar succulent woodlands,20.8,-22.482686979036902,44.80820084278345
Sierra Nevada forests,19.9,37.97437445567398,-119.64165048860815
Espinal,19.5,-34.16531941007006,-62.87872876878476
Papuan Central Range sub-alpine grasslands,19.3,-4.8197817284047515,140.48757345041892
Namibian savanna woodlands,19.3,-19.186103198556413,14.18097337484862
Madagascar mangroves,19.0,-17.12637725109567,45.22245472059953
Christmas and Cocos Islands tropical forests,18.5,-10.688149864103414,104.51923438156997
New Caledonia rain forests,18.0,-21.297896208741133,165.82696313399032
New Guinea mangroves,13.9,-5.090901544084203,138.0533243050718
Louisiade Archipelago rain forests,13.9,-11.217311901838483,153.1111366165302
Congolian coastal forests,12.3,-0.29426802771076377,10.793262628601678
Pernambuco coastal forests,12.3,-8.806727377639007,-35.63617085923651
Klamath-Siskiyou forests,11.8,41.36514597815255,-123.19883470101941
New Britain-New Ireland lowland rain forests,11.8,-5.012028329402789,150.5774479700785
Kinabalu montane alpine meadows,11.7,6.104419213156768,116.61109460398896
Honshu alpine conifer forests,11.5,38.15811409958638,139.3278868485156
Northeast Brazil restingas,11.4,-2.8153340677170817,-42.43455844611171
Southern Rift Montane forest-grassland,11.2,-9.853268716516373,34.04372696883163
Alto Paraná Atlantic forests,11.1,-23.453027626554825,-51.806390878660885
Granitic Seychelles forests,11.0,-5.2712033840666885,54.8062003788863
Scandinavian coastal conifer forests,10.7,63.015971642967,8.442602322757795
Borneo lowland rain forests,10.2,0.9969097129168462,114.11583412315137
Sumatran freshwater swamp forests,9.5,-0.42833606273206154,102.37135869228041
Yap tropical dry forests,9.5,9.545413970086022,138.19855985828343
Tocantins/Pindare moist forests,9.3,-3.011241229294425,-47.437584100892636
Eastern Anatolian deciduous forests,9.1,38.70805731959717,38.98169866337069
Central-Southern Cascades Forests,9.1,43.91835113935016,-122.02894891124818
Mount Cameroon and Bioko montane forests,9.0,4.138268795696976,9.11705386030747
Biak-Numfoor rain forests,9.0,-0.9491367222826632,135.81197668734282
Borneo peat swamp forests,9.0,0.36267295555641305,113.04682494272203
Comoros forests,8.7,-12.061740598129145,43.945388852132126
Admiralty Islands lowland rain forests,8.6,-2.0978921880194057,146.9377885157643
Faroe Islands boreal grasslands,8.5,62.06340688337104,-6.890413426503724
Malpelo Island xeric scrub,8.5,3.9762817165759747,-81.59670369363216
Pantanal,8.3,-18.054175088084897,-57.210484271834524
Albertine Rift montane forests,8.3,-2.4318041849775773,29.39037875697362
Eastern Cascades forests,8.2,43.04707492415838,-121.19066526238171
Eastern Java-Bali montane rain forests,8.1,-8.030941199210057,113.1741580771983
Ussuri broadleaf and mixed forests,7.7,46.680748214184305,135.1671404235551
California Central Valley grasslands,7.7,37.30580042752791,-120.54278205742737
South Central Rockies forests,7.7,44.77761546148722,-111.80470495668534
California interior chaparral and woodlands,7.3,37.4135470241978,-121.14441452531173
Central Pacific Northwest coastal forests,7.2,48.263216894416786,-125.40740828984282
Southeast Papuan rain forests,7.1,-8.832525057157104,147.82537356977218
Tumbes-Piura dry forests,7.0,-5.173021861253385,-80.1867669608274
Amazon-Orinoco-Southern Caribbean mangroves,6.8,4.5670410881669845,-55.96170120910551
Magdalena Valley dry forests,6.8,3.8686226490743683,-75.06663425388685
Nihonkai montane deciduous forests,6.8,38.43243756953396,139.23606383309286
Nihonkai evergreen forests,6.5,36.331487735579366,135.93147533275123
Eastern Java-Bali rain forests,6.4,-7.567828239877282,112.29077319758417
Guizhou Plateau broadleaf and mixed forests,6.2,28.143994589940352,107.89532771212826
Southern Anatolian montane conifer and deciduous forests,6.2,36.885995231459994,33.31098020254901
Himalayan subtropical pine forests,6.2,30.709764873923955,78.89949089476198
